used vram - vram usage of texture + vertex data
fps - frames per second
pps - polys per second
ppf - polys fer frame
overdraw - effective overdraw per frame
strst - IDirect3DDevice9::SetRenderState per frame
sttxstgst - IDirect3DDevice9::SetTextureStageState per frame
ppc - polys per DrawPrimitve
sttx - IDirect3DDevice9::SetTexture per frame
stvp - IDirect3DDevice9::SetViewport per frame
svs - IDirect3DDevice9::SetVertexShader per frame
sss - IDirect3DDevice9::SetStreamSource per frame

<used vram>,<fps>,<pps>,<ppf>,<overdraw>,<strst>,<sttxstgst>,<ppc>,<sttx>,<stvp>,<svs>,<sss>
1048576,58,36246,624,0,203.465515,5.000000,2.688075,194.465515,0,0.000000,0.000000
1048576,58,36502,629,0,206.672409,5.000000,2.670227,197.672409,0,0.000000,0.000000
1048576,59,37618,637,0,207.796616,5.000000,2.692385,198.796616,0,0.000000,0.000000
1048576,58,36664,632,0,213.068970,5.000000,2.611210,204.068970,0,0.000000,0.000000
1048576,58,37670,649,0,214.741379,5.000000,2.664450,205.741379,0,0.000000,0.000000
1048576,58,36820,634,0,211.413788,5.000000,2.640373,202.413788,0,0.000000,0.000000
1048576,58,37352,644,0,211.000000,5.000000,2.683141,202.000000,0,0.000000,0.000000
1048576,58,36502,629,0,210.672409,5.000000,2.625665,201.672409,0,0.000000,0.000000
1048576,59,37244,631,0,204.627121,5.000000,2.701777,195.627121,0,0.000000,0.000000
1048576,59,35972,609,0,204.847458,5.000000,2.607044,195.847458,0,0.000000,0.000000
1048576,58,36488,629,0,206.551727,5.000000,2.670570,197.551727,0,0.000000,0.000000
1048576,58,36520,629,0,201.827591,5.000000,2.727612,192.827591,0,0.000000,0.000000
1048576,59,36514,618,0,198.440674,5.000000,2.720864,189.440674,0,0.000000,0.000000
1048576,59,36026,610,0,202.305084,5.000000,2.639654,193.305084,0,0.000000,0.000000
1048576,58,35740,616,0,200.103455,5.000000,2.689442,191.103455,0,0.000000,0.000000
1048576,58,35332,609,0,200.586212,5.000000,2.653150,191.586212,0,0.000000,0.000000
1048576,58,36116,622,0,201.344833,5.000000,2.703091,192.344833,0,0.000000,0.000000
1048576,59,36326,615,0,203.847458,5.000000,2.644006,194.847458,0,0.000000,0.000000
1048576,58,35950,619,0,203.913788,5.000000,2.660992,194.913788,0,0.000000,0.000000
1048576,58,36432,628,0,206.068970,5.000000,2.671947,197.068970,0,0.000000,0.000000
1048576,58,36504,629,0,204.689651,5.000000,2.693028,195.689651,0,0.000000,0.000000
1048576,58,36228,624,0,202.310349,5.000000,2.700156,193.310349,0,0.000000,0.000000
1048576,58,36636,631,0,205.827591,5.000000,2.689670,196.827591,0,0.000000,0.000000
1048576,59,37288,632,0,208.000000,5.000000,2.666476,199.000000,0,0.000000,0.000000
1048576,59,37312,632,0,207.203384,5.000000,2.677190,198.203384,0,0.000000,0.000000
1048576,58,35556,613,0,204.517242,5.000000,2.625028,195.517242,0,0.000000,0.000000
1048576,59,36928,625,0,206.949158,5.000000,2.652493,197.949158,0,0.000000,0.000000
1048576,58,36630,631,0,204.775864,5.000000,2.701327,195.775864,0,0.000000,0.000000
1048576,58,35778,616,0,200.431030,5.000000,2.688458,191.431030,0,0.000000,0.000000
1048576,59,35968,609,0,200.813553,5.000000,2.652507,191.813553,0,0.000000,0.000000
1048576,58,35860,618,0,196.137924,5.000000,2.745999,187.137924,0,0.000000,0.000000
1048576,59,36576,619,0,198.966095,5.000000,2.719203,189.966095,0,0.000000,0.000000
1048576,58,35476,611,0,200.827591,5.000000,2.661166,191.827591,0,0.000000,0.000000
1048576,58,34750,599,0,199.568970,5.000000,2.621059,190.568970,0,0.000000,0.000000
1048576,59,36232,614,0,200.050842,5.000000,2.680873,191.050842,0,0.000000,0.000000
1048576,58,34408,593,0,192.620697,5.000000,2.676624,183.620697,0,0.000000,0.000000
